name,steps,photos
Fried Banana Balls (Kuih Kodok),"The original recipe with more images and instructions video can be found [here](https://www.mylovelyrecipes.com/recipes/asian-cuisine/kuih-kodok/)

&amp;nbsp;

#####Preparation time: 15 minutes
#####Cooking time: 5 minutes
#####Serving size: about 8 pieces

&amp;nbsp;

#INGREDIENTS
- 200g Peeled Banana
- 50g All-purpose Flour
- 1 tbsp Sugar
- 0.25 tsp Salt
- 0.25 tsp Baking Soda

&amp;nbsp;

#INSTRUCTIONS
1. Add salt, baking soda, and sugar after mashing the banana.
2. Add the sifted flour and mix well.
3. Rest the batter for about 10 minutes.
4. Pour oil into the pot, scoop into the banana batter after the oil temperature is hot, and fry it until light brown color.
5. Let cool and enjoy.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Potato and Leek Soup,"**Potato and Leek Soup**

For full recipe, substitutions, variations, tips, &amp; tricks, visit: [https://maplewoodroad.com/food/potato-and-leek-soup/](https://maplewoodroad.com/food/potato-and-leek-soup/)

### INGREDIENTS

* 4 Tbsp butter
* 4 leeks, trimmed and chopped to 1/8""
* 2 cloves garlic, thinly sliced
* 1/2 tsp kosher salt
* 1/2 tsp freshly cracked black pepper
* 2-1/2 c chicken stock
* 2-1/2 c water
* 2 bay leaves
* 1 Tbsp chopped flat-leaf Italian parsley (plus more for garnish)
* 1 tsp fresh thyme leaves
* 1 lb Yukon potatoes, thinly sliced
* 1/4 c heavy cream
* Salt and pepper to taste

### INSTRUCTIONS

* In a large pan, heat 4 Tbsp butter until it bubbles. 
* Then add the chopped leeks. Season with 1/2 tsp kosher salt and 1/2 tsp pepper. Stir occasionally for about 10 minutes until the leeks get really soft and the edges begin to brown. 
* Add garlic and stir for another couple of minutes. Taste before the next step. 
* Add 5 c liquid (I use 50% chicken stock and 50% water) and the herbs. Taste and see if you like the balance so far. Some stocks are saltier than others. 
* Crank up the heat to bring it to a quick boil, then reduce the heat and simmer for 5 minutes.
* Add 1 lb of thinly sliced Yukon gold potatoes and let it simmer with the lid on for about 40 minutes. Stir occasionally.
* The soup is done when the potatoes are very tender and starting to fall apart. We might still have to add some more salt and pepper. Potatoes soak up some salt. Taste again. Season with salt until you achieve the desired yumminess. If you like, add a pinch of cayenne pepper, which really makes it pop. 
* Serve in a bowl, add a splash of heavy cream (if desired), and top with some fresh flat-leaf Italian parsley.
* If you prefer a creamy consistency, use an immersion blender and blend everything together before serving. ","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Creamy Tadka Dal... the trick is in making a deep toasted Tadka as your topping.,"[Step-by-Step Pics with Video](https://www.finedininglovers.com/recipes/ultimate-tadka-dal-recipe-step-step)

**INGREDIENTS:**

**Lentils**

1 cup (240g), split moong yellow

**Spring Water**

4 cups (880ml)

**Salt**

1 1D2 tsp plus a pinch

**Turmeric**

1D4 tsp

**Step 7**

Then drizzle on the remaining tadka as a garnish (without mixing). Finish with garam masala and fresh coriander leaves.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
"VIRAL TIK TOK PASTA ! ( Baked feta, tomato pasta ) quite simple and healthy"," INGREDIENTS

Fusilli

1 ½ cups Cherry tomatoes

400g feta cheese

Salt and pepper

Dried Oregano

Dried basil

2 cloves garlic

STEPS [here](https://www.youtube.com/watch?v=h1lPvkUaxPE)

Everybody welcome back to another video today we're going to do feta tomato pasta

1. let's start off by washing cherry tomatoes
2. after washing we could transfer them to oven safe dish and make a hole in the middle of tomatoes
3. add your feta cheese inside
4. Drizzle olive oil
5. then add 2 pinches of salt and black pepper
6. add dried basil and dried oregano and a few shakes of chili flakes
7. some more olive oil cause why not
8. Chop 2 cloves of garlic and add on top then it's ready for the oven.
9. Baked at 425 degrees for 35 minutes
10. after 35 minutes your tomatoes should be nice and chard
11. smash everything together and give them a good mix
12. Add pasta of choice
13. and toss them around one more time just like it did with the sauce
14. there you have it you got yourself a creamy tomato pasta for dinner","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
"Italian Classic Valdostana, a Delicious Second Course From North Italy"," Valdostana is one of the typical dishes of the Valle D'Aosta tradition, known all over the world and appreciated especially in the autumn and winter period for the ingredients with which it is prepared that remind us of this time of year. As always if you like the recipe and want to subscribe you are welcome

Video Recipe [Here](https://youtu.be/TqPZL0ZOTGU)

INGREDIENTS FOR 2 VALDOSTANE

* 2 slice of beef sirloin 100 gr Fontina cheese ( cheddar or mozzarella if you can't find it)
* 100 gr Sliced ham ( or smoked ham )
* 2 eggs
* Flour
* Breadcrumbs
* Salt
* Butter

INSTRUCTION

* Cut 100 gr of Fontina cheese in slice, if you can't find it you can use cheddar or even mozzarella.
* Take a sirloin slice and beat it with a meat tenderizer. For best results and to not ruin the fibers of the meat, cover it with plastic wrap first.
* Place a couple of slice of ham ( or smoked ham ) on the slices of sirloin then cover them with the cheese of your choice
* Fold the meat and cover the stuffing, taking care that the edges remain free.
* Seal the wallets you just made by pressing along the edges firmly.
* Now take the Valdostana and flour it well, then dip it in beaten eggs with a pinch of salt and finally in breadcrumbs.
* Melt the butter in a frying pan. When it is hot and begins to bubble,begin to cook valdostana, browning both sides for about 4-5 minutes, until golden brown.
* Wipe off the excess of butter with paper towels and serve while are still hot

That's all! if you have any question feel free to ask \^\_\^","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Blueberry danishes,"Ingredients:

1. Cottage cheese (0.2 lb / 100 g)

2. Yolks (2 pcs)

3. Grated lemon (1 tbsp)

4. Sugar powder (6 tsp)

5. Puff pastry (1 lb / 450 g)

6. Blueberries (or any berries)

7. Strawberry jam (or whatever)

8. Milk (1 tbsp)

Cooking method:

1. Make the filling (mix cottage cheese, yolk, grated lemon and powdered sugar)
2. Roll out puff pastry, cut out squares and form danishes
3. Put the filling and grease the dough with mixed yolk and milk
4. Put blueberries (or other berries)
5. Bake for 7-10 minutes at 400° F/ 200° C degrees
6. Grease with strawberry jam (or other jam)
7. Sprinkle with powdered sugar
8. Awesome dessert is ready!

You can watch how I cook it [here](https://www.youtube.com/watch?v=EHdvrya99_4&amp;t=13s).","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
White Chicken Chili,"**Recipe: White Chicken Chili**

**Ingredients**

* 1 yellow or white onion
* 4 cloves garlic
* 2 jalapeños
* 1 lb to 1.5 lbs chicken thighs or breasts
* 1 16oz. jar salsa verde or homemade (instructions incl)
   * Salsa: 3 jalapeños, 2 anaheims, 1 poblano (all peppers seeded to desired amout), 4 tomatillos, 3 garlic cloves, white onion, handful cilantro, salt, cumin, lime juice
* 2 15oz. cans cannellini beans
* 1 15oz. can pinto beans
* 1 Tbsp ground cumin
* 1 tsp dried oregano
* ¼ tsp cayenne pepper
* ¼ tsp freshly ground black pepper
* 1/2 tsp salt
* 2 cups chicken broth or stock, or 2 cups water plus 2 tsp better than bullion
* 4 oz. Monterey Jack cheese, shredded

&amp;#x200B;

**Instructions**

1. Make Salsa: Cut peppers length wise and remove seeds with a spoon or knife. Char 3 jalapeños, 2 anaheims, 1 poblano, 1 tomatillo and one garlic clove in the husk on a cast iron or under the broiler and then peel off pepper skin after it sits under a towel or plate for like 15 minutes. Boil other three tomatillos until color change.
2. Add roasted/cooked salsa ingredients to blender with some cilantro, 2 fresh cloves of garlic, quartered white onion, and juice of one lime, salt, and some cumin
3. Dice the onion and mince the garlic. Slice the jalapeño lengthwise, scrape out the seeds with a spoon, then dice.
4. Cook chicken (seasoned with salt, garlic, onion powder, smoked paprika), if using stock to cook shredded chicken (sear on one side then a lil on the other and cover with inch of stock), reserve stock for soup.
5. Sweat onions and jalapenos in some of the chicken fat from the stock or some olive oil,  then add garlic, the cumin, oregano, cayenne, and pepper and cook for 30 seconds. Pour the salsa over top. Cook for a lil
6. Add the beans, stir, add the chicken and stir, then add the stock.  Stir the chili, slightly mashing the beans with the back of the spoon as you stir. The mashed beans will help thicken the chili.
7. Bring to a boil, then turn lower to simmer for 30 to 45 minutes
8. Serve the chili topped with shredded Monterey Jack cheese. Other optional toppings include fresh cilantro, diced avocado, freshly squeeze lime, sliced jalapeños, or tortilla chips.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Copycat Trader Joe's discontinued Mushroom Turnovers,"This is a copycat of Trader Joe's discontinued Mushroom Turnovers, made from ingredients listed on the box.

[**Step-by-step Video**](https://youtu.be/NHyFv6dlSmw) for following along

**Ingredients**:

*for the crust*:

* 1 cup flour
* 4 tbsp butter (half stick)
* 4 tbsp cream cheese
* 1/2 tsp salt
* 2 tbsp cold water

*for the filling*:

* 1 shallot, chopped
* 1/2 lb mushrooms, diced
* 1/2 tsp dry minced onion
* 1/2 tsp Trader Joe's mushroom seasoning (optional)
* 1/2 tsp salt
* 1/4 tsp pepper
* 1/4 cup sour cream

**Instruction**:

1. Stir fry chopped shallots in olive oil until fragrant
2. Add ground pepper and mushrooms; cook until mushroom is softened, and water from the mushroom seeps out
3. Add dry onion flakes, mushroom seasoning, &amp; salt; cook until excess water is evaporated 
4. Turn off the heat, stir in the sour cream; mix until well combined; set aside
5. Make the pastry: whisk flour with salt
6. Cut butter &amp; cream cheese into small cubes, work them into the flour until you have a crumbly meal
7. Add water and form a dough. Cut dough into 8\~12 portions
8. Roll out each portion, fill with mushroom filling, fold and pinch to seal
9. Trim off excess dough; egg wash if desired
10. Airfry for \~8 minutes at 400F, until pastry is cooled through. Enjoy! ","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Crunchy Twisted Donuts (Ma Hua) Recipe,"**Ingredients:**

\- 300g all-purpose flour

\- 50g sugar

\- 2g salt

\- 2g baking soda

\- 2 tbsps (30ml) oil

\- 3oz (90ml) lukewarm water

&amp;#x200B;

[A full video with detailed instructions can be found here.](https://youtu.be/dbKRHx6nDS8)

&amp;#x200B;

**Directions:**

1. Mix the flour, salt, sugar, and baking soda together. Add lukewarm water and mix with the dry ingredients. Add one egg and mix everything. Cover the dough and let it rest for 30 min.
2. After resting, the dough will be very easy to knead. Knead the dough until smooth.
3. Divide the dough into half and make the first 6 twisted donuts. Flatten the dough with the rolling pin and roll it out into a rectangular shape. Divide the dough into 12 pieces evenly.
4. Take one piece out and roll it out into a 20-inch long strand. Repeat and make a second strand.
5. Put two strands together and start twisting them by pushing one hand up and the other hand down. Keep twisting until you feel strong resistance from the dough.
6. Lift up both ends. The dough should twist together by itself. Pinch the ends together. Cover it with a cloth or plastic wrapper to prevent the dough from drying out.
7. Heat up the oil to 250^(o)F or 120^(o)C. Add the twisted donuts. Use low to medium heat and fry them for about 18 min until golden. Flip it a few times during frying.
8. When the frying is done, place the cooked twisted donuts on paper towels to soak up the excess oil. Leave them at room temperature to cool down.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
How to Make Pizza in a Hurry,"A quick meal in 10 minutes, quick and tasty for everyone. How to make pizza in a hurry. Make hot pizza-like sandwiches for breakfast or lunch.

**INGREDIENTS:**
* White or Grey bread - 7 slices
* Tomato - 1 pc.
* Paprika - 1 pc.
* Sausage or ham - 80-100 gr.
* Herbs (I used basil and onions).
* Hard cheese - 80-100 gr.
* Mayonnaise - 2 tbsp. Spoon.
* Bake for 10-15 minutes at 180°C /360°F
&gt; Enjoy))

**DIRECTIONS:**
All you have to do is cut everything into small cubes, mix, spread on bread, bake in the oven and you're done, it couldn't be easier. And the taste is just amazing. This is a really tasty pizza sandwich recipe that takes about 10 minutes to make. The result is a juicy filling on a crispy loaf.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
3-Ingredient Matcha Ice Cream (No Churn),"Sharing my Matcha ice cream recipe that requires only 3 ingredients, without an ice cream maker!

All you need for this recipe is matcha powder, whipping cream, and condensed milk, and you can make a homemade batch of matcha ice cream that's super creamy and full of matcha flavor, all without the trip to Japan.

You can use either a hand blender or a stand mixer for this recipe. Feel free to mix with your hands as well if you don't mind a serious arm workout :3. Enjoy everyone! x

**\[RECIPE (ONE LARGE PINT - 16 SERVINGS)\]**

**Ingredients:**

* 1 (14-ounce) can sweetened condensed milk
* 2 tbsp matcha powder, add more if desired
* 2 cups heavy whipping cream, cold

**Directions:**

1. Add sweetened condensed milk into a bowl. Sift in the matcha powder and mix until well combined. Set aside.
2. Add heavy cream to a mixing bowl, or into a bowl of a stand mixer. Start whipping on low speed, gradually increase the speed, and continue to whip until stiff peaks form. Fold in the matcha paste, and whip again on medium speed until well combined.
3. Transfer to an airtight container (or a loaf pan sealed tightly with plastic wrap) and freeze for at least 6 hours before serving. Enjoy with your favorite toppings!

**Notes:**

Chopped pistachios pair wonderfully with matcha ice cream. Other great toppings include white chocolate, fruits, or other chopped nuts.

Stored in an airtight container, matcha ice cream will last up to 6 weeks in the freezer. Thaw for about 10 minutes prior to serving for easy scooping!

**<C**Original recipe with quick video tutorial can be found [here](https://www.cookerru.com/matcha-ice-cream/).","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
